agency,site,date_time,flow,comments
USGS,mon_jug,2017-05-06T00:00:00Z,7310,
USGS,mon_jug,2017-05-07T00:00:00Z,2660,
USGS,mon_jug,2017-05-08T00:00:00Z,1780,
USGS,mon_jug,2017-05-09T00:00:00Z,1320,
USGS,mon_jug,2017-05-10T00:00:00Z,1080,
USGS,mon_jug,2017-05-11T00:00:00Z,1160,
USGS,mon_jug,2017-05-12T00:00:00Z,1660,
USGS,mon_jug,2017-05-13T00:00:00Z,1870,
USGS,mon_jug,2017-05-14T00:00:00Z,2240,
USGS,mon_jug,2017-05-15T00:00:00Z,1410,
USGS,mon_jug,2017-05-16T00:00:00Z,1080,
USGS,mon_jug,2017-05-17T00:00:00Z,908,
USGS,mon_jug,2017-05-18T00:00:00Z,794,
USGS,mon_jug,2017-05-19T00:00:00Z,707,
USGS,mon_jug,2017-05-20T00:00:00Z,697,
USGS,mon_jug,2017-05-21T00:00:00Z,640,
USGS,mon_jug,2017-05-22T00:00:00Z,611,
USGS,mon_jug,2017-05-23T00:00:00Z,612,
USGS,mon_jug,2017-05-24T00:00:00Z,601,
USGS,mon_jug,2017-05-25T00:00:00Z,1700,
USGS,mon_jug,2017-05-26T00:00:00Z,2740,
USGS,mon_jug,2017-05-27T00:00:00Z,1280,
USGS,mon_jug,2017-05-28T00:00:00Z,1110,
USGS,mon_jug,2017-05-29T00:00:00Z,1160,
USGS,mon_jug,2017-05-30T00:00:00Z,1060,
USGS,mon_jug,2017-05-31T00:00:00Z,874,
USGS,mon_jug,2017-06-01T00:00:00Z,748,
USGS,mon_jug,2017-06-02T00:00:00Z,634,
USGS,mon_jug,2017-06-03T00:00:00Z,552,
USGS,mon_jug,2017-06-04T00:00:00Z,504,
USGS,mon_jug,2017-06-05T00:00:00Z,477,
USGS,mon_jug,2017-06-06T00:00:00Z,498,
USGS,mon_jug,2017-06-07T00:00:00Z,481,
USGS,mon_jug,2017-06-08T00:00:00Z,492,
USGS,mon_jug,2017-06-09T00:00:00Z,433,
USGS,mon_jug,2017-06-10T00:00:00Z,390,
USGS,mon_jug,2017-06-11T00:00:00Z,349,
USGS,mon_jug,2017-06-12T00:00:00Z,320,
USGS,mon_jug,2017-06-13T00:00:00Z,298,
USGS,mon_jug,2017-06-14T00:00:00Z,279,
USGS,mon_jug,2017-06-15T00:00:00Z,263,
USGS,mon_jug,2017-06-16T00:00:00Z,257,
USGS,mon_jug,2017-06-17T00:00:00Z,257,
USGS,mon_jug,2017-06-18T00:00:00Z,258,
USGS,mon_jug,2017-06-19T00:00:00Z,371,
USGS,mon_jug,2017-06-20T00:00:00Z,426,
USGS,mon_jug,2017-06-21T00:00:00Z,355,
USGS,mon_jug,2017-06-22T00:00:00Z,292,
USGS,mon_jug,2017-06-23T00:00:00Z,274,
USGS,mon_jug,2017-06-24T00:00:00Z,364,
USGS,mon_jug,2017-06-25T00:00:00Z,546,
USGS,mon_jug,2017-06-26T00:00:00Z,379,
USGS,mon_jug,2017-06-27T00:00:00Z,274,
USGS,mon_jug,2017-06-28T00:00:00Z,233,
USGS,mon_jug,2017-06-29T00:00:00Z,213,
USGS,mon_jug,2017-06-30T00:00:00Z,201,
USGS,mon_jug,2017-07-01T00:00:00Z,212,
USGS,mon_jug,2017-07-02T00:00:00Z,223,
USGS,mon_jug,2017-07-03T00:00:00Z,206,
USGS,mon_jug,2017-07-04T00:00:00Z,205,
USGS,mon_jug,2017-07-05T00:00:00Z,275,
USGS,mon_jug,2017-07-06T00:00:00Z,442,
USGS,mon_jug,2017-07-07T00:00:00Z,571,
USGS,mon_jug,2017-07-08T00:00:00Z,424,
USGS,mon_jug,2017-07-09T00:00:00Z,331,
USGS,mon_jug,2017-07-10T00:00:00Z,263,
USGS,mon_jug,2017-07-11T00:00:00Z,222,
USGS,mon_jug,2017-07-12T00:00:00Z,199,
USGS,mon_jug,2017-07-13T00:00:00Z,189,
USGS,mon_jug,2017-07-14T00:00:00Z,217,
USGS,mon_jug,2017-07-15T00:00:00Z,199,
USGS,mon_jug,2017-07-16T00:00:00Z,245,
USGS,mon_jug,2017-07-17T00:00:00Z,211,
USGS,mon_jug,2017-07-18T00:00:00Z,224,
USGS,mon_jug,2017-07-19T00:00:00Z,235,
USGS,mon_jug,2017-07-20T00:00:00Z,212,
USGS,mon_jug,2017-07-21T00:00:00Z,183,
USGS,mon_jug,2017-07-22T00:00:00Z,171,
USGS,mon_jug,2017-07-23T00:00:00Z,182,
USGS,mon_jug,2017-07-24T00:00:00Z,797,
USGS,mon_jug,2017-07-25T00:00:00Z,783,
USGS,mon_jug,2017-07-26T00:00:00Z,348,
